Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Country of Origin (product.metafields.custom.country_of_origin),Description of the good (product.metafields.custom.description_of_the_good),HS Code (product.metafields.custom.hs_code),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Altersgruppe (product.metafields.shopify.age-group),Farbe (product.metafields.shopify.color-pattern),Stoff (product.metafields.shopify.fabric),Größe (product.metafields.shopify.size),Eigenschaften der Badebekleidung (product.metafields.shopify.swimwear-features),Zielgeschlecht (product.metafields.shopify.target-gender),Ergänzende Produkte (product.metafields.shopify--discovery--product_recommendation.complementary_products),Ähnliche Produkte (product.metafields.shopify--discovery--product_recommendation.related_products),Einstellungen für ähnliche Produkte (product.metafields.shopify--discovery--product_recommendation.related_products_display),Produktboosts suchen (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
sophie-top-black,SOPHIE TOP,<p>Sporty top.<br>Adjustable thin shoulders straps.<br>Decorative seam on the edges.<br>Opaque – fully lined.<br>Not padded.<br>Quick drying.<br>Matte finish Italian lycra fabric</p>,BILALI The Label,Apparel & Accessories > Clothing > Swimwear,Swimwear,"basic, swimwear, tops",true,Color,BLACK,,Size,S,,,,,SS-2025-01-01,34000.0,shopify,deny,manual,89.00,,true,true,"",https://cdn.shopify.com/s/files/1/0821/8044/0409/files/sophie-bikini-bandeau-top-black.jpg?v=1743420489,1,"Stylish Sophie Bandeau Bikini made of black Italian Lycra fabric with adjustable straps - soft seam, fast-drying, more comfort and perfect fit",false,Sophie Top - Black ,"Sporty top.
Adjustable thin shoulders straps.
Decorative seam on the edges.
Opaque – fully lined.
Not padded.
Quick drying.
Matte finish Italian lycra fabric.",166,,,,new,FALSE,,,,,,,,,FALSE,erwachsene,,,l; m; s,schmeichelnde-silhouette; leicht; schnelltrocknend; verstellbarer-riemen,,"",xenia-bottom-black; caecilia-bottom-black; maria-bottom-black,only manual,,,kg,,,active
sophie-top-black,,,,,,,,,BLACK,,,M,,,,,SS-2025-01-01,38000.0,shopify,deny,manual,89.00,,true,true,"",https://cdn.shopify.com/s/files/1/0821/8044/0409/files/Xenia-Bottom-Black.jpg?v=1739269903,2,BLACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
sophie-top-black,,,,,,,,,BLACK,,,L,,,,,SS-2025-01-01,43000.0,shopify,deny,manual,89.00,,true,true,"",https://cdn.shopify.com/s/files/1/0821/8044/0409/files/F00D9B9C-F994-45E8-A7B9-6CA4CBC48559.jpg?v=1744361724,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
alessia-top-black,ALESSIA TOP,<p>Strap bandeau top.<br>Adjustable over the shoulder straps.<br>Decorative seam on the edges.<br>Opaque – fully lined.<br>Not padded.<br>Quick drying.<br>Matte finish.<br>Italian lycra fabric.</p>,BILALI The Label,Apparel & Accessories > Clothing > Swimwear,Swimwear,"basic, swimwear, tops",true,Color,BLACK,,Size,S,,,,,SW-2022-03-01,35000.0,shopify,deny,manual,89.00,,true,true,"",https://cdn.shopify.com/s/files/1/0821/8044/0409/files/D7870E03-EF5C-483C-90E1-AB7F9B3A934B.png?v=1743439023,1,"",false,Alessia Top ,"Strap bandeau top.
Adjustable over the shoulder straps.
Decorative seam on the edges.
Opaque – fully lined.
Not padded.
Quick drying.
Matte finish.
Italian lycra fabric.",166,,,,new,FALSE,,,,,,,,,FALSE,,,,,,,"",caecilia-bottom-black; xenia-bottom-black; sara-bottom-black; evelyn-pareo-black,only manual,,,kg,,,active
alessia-top-black,,,,,,,,,BLACK,,,M,,,,,SW-2022-03-01,38000.0,shopify,deny,manual,89.00,,true,true,"",https://cdn.shopify.com/s/files/1/0821/8044/0409/files/Caecilia-Bottom-Black.jpg?v=1743439020,2,BLACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
alessia-top-black,,,,,,,,,BLACK,,,L,,,,,SW-2022-03-01,41000.0,shopify,deny,manual,89.00,,true,true,"",https://cdn.shopify.com/s/files/1/0821/8044/0409/files/black-strap-bandeau-bikini-top-front.jpg?v=1744705147,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
alessia-top-black,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/476B8542-6794-41D9-88A5-EC97EE70AEBF.jpg?v=1745349869,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lorene-top-black,LORENE TOP,<p>Triangle top. <br>Adjustable over the shoulder and under the bust straps. <br>Not padded. <br>Quick drying. <br>Matte finish. <br>Italian lycra fabric.</p>,BILALI The Label,Apparel & Accessories > Clothing > Swimwear,Swimwear,"basic, swimwear, tops",true,Color,BLACK,,Size,S,,,,,SS-2025-02-01,32000.0,shopify,deny,manual,89.00,,true,true,,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/lorene-triangle-bikini-top-black.jpg?v=1743751095,1,"Stylish Lorene Triangle Bikini Top made of black Italian Lycra fabric - soft seam, fast-drying, more comfort and perfect fit",false,Lorene Top - Black,Triangle top. Adjustable over the shoulder and under the bust straps. Not padded. Quick drying. Matte finish. Italian lycra fabric.,166,,,,new,FALSE,,,,,,,,,FALSE,erwachsene,,,l; m; s,schmeichelnde-silhouette; leicht,,"",sara-bottom-black; evelyn-pareo-black,only manual,,,kg,,,active
lorene-top-black,,,,,,,,,BLACK,,,M,,,,,SS-2025-02-01,35000.0,shopify,deny,manual,89.00,,true,true,,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/sara-brazilian-bikini-bottom-black.jpg?v=1743750689,2,"Stylish Sara Brazilian Bikini Bottom made of black Italian Lycra fabric - soft seam, fast-drying, more comfort and perfect fit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
lorene-top-black,,,,,,,,,BLACK,,,L,,,,,SS-2025-02-01,38000.0,shopify,deny,manual,89.00,,true,true,,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/black-triangle-bikini-top-front.jpg?v=1744705373,3,"Luxurious triangle swimwear basic by Bilali the Label. Made from premium Italian Lycra in SoftTheme. Featuring ultra-soft seams, sculpting fit, and fast-drying fabric for effortless elegance on sunny days.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
lorene-top-black,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/triangle-bikini-top-front-black.jpg?v=1744706036,4,"Luxurious triangle swimwear basic by Bilali the Label. Made from premium Italian Lycra in SoftTheme. Featuring ultra-soft seams, sculpting fit, and fast-drying fabric for effortless elegance on sunny days.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lorene-top-black,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/black-brazilian-bikini-bottom-back.jpg?v=1744705397,5,"Luxurious, one-colored Brazilian bikini bottom by Bilali the Label. Made from premium Italian Lycra. Featuring ultra-soft seams, a minimalistic basic bikini design, second-skin fit, and fast-drying fabric for effortless elegance on sunny days.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lorene-top-off-white,LORENE TOP,<p>Triangle top<br>Adjustable over the shoulder straps<br>Adjustable under the bust strap<br>Opaque - fully lined<br>Not padded <br>Quick drying<br>Matte finish<br>Italian Lycra Fabric</p>,BILALI The Label,Apparel & Accessories > Clothing > Swimwear,Swimwear,"basic, swimwear, tops",true,Color,OFF-WHITE,,Size,S,,,,,SW-2022-02-03,32000.0,shopify,deny,manual,89.00,,true,true,"",https://cdn.shopify.com/s/files/1/0821/8044/0409/files/lorene-triangle-bikini-top-white.jpg?v=1743420874,1,"Stylish Lorene Triangle Bikini Top made of white Italian Lycra fabric with adjustable ties - soft seam, fast-drying, more comfort and perfect fit",false,Lorene Top - Offwhite,Triangle top. Adjustable over the shoulder and under the bust straps. Not padded. Quick drying. Matte finish. Italian lycra fabric.,166,,adult,,new,FALSE,,,,,,,,,FALSE,erwachsene,,,s; m; l,schmeichelnde-silhouette; leicht,,"",sara-bottom-off-white; evelyn-pareo-white,only manual,,,kg,,,active
lorene-top-off-white,,,,,,,,,OFF-WHITE,,,M,,,,,SW-2022-02-03,35000.0,shopify,deny,manual,89.00,,true,true,"",https://cdn.shopify.com/s/files/1/0821/8044/0409/files/sara-brazilian-bikini-bottom-offwhite.jpg?v=1743750851,2,"Stylish Sara Brazilian Bikini Top made of white Italian Lycra fabric - soft seam, fast-drying, more comfort and perfect fit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
lorene-top-off-white,,,,,,,,,OFF-WHITE,,,L,,,,,SW-2022-02-03,38000.0,shopify,deny,manual,89.00,,true,true,"",https://cdn.shopify.com/s/files/1/0821/8044/0409/files/white-triangle-top-bikini-front.jpg?v=1744564309,3,"Luxurious triangle swimwear basic by Bilali the Label. Made from premium Italian Lycra in SoftTheme. Featuring ultra-soft seams, sculpting fit, and fast-drying fabric for effortless elegance on sunny days.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
lorene-top-off-white,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/white-brazilian-bikini-bottom-back-bilalithelabel.jpg?v=1745168188,4,"Luxurious, one-colored Brazilian bikini bottom by Bilali the Label. Made from premium Italian Lycra. Featuring ultra-soft seams, a minimalistic basic bikini design, second-skin fit, and fast-drying fabric for effortless elegance on sunny days.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lorene-top-beige,LORENE TOP,<p>Triangle top. <br>Adjustable over the shoulder and under the bust straps. <br>Not padded. <br>Quick drying. <br>Matte finish. <br>Italian lycra fabric.</p>,BILALI The Label,Apparel & Accessories > Clothing > Swimwear,Swimwear,"basic, swimwear, tops",true,Color,BEIGE,,Size,S,,,,,SW-2022-02-02,32000.0,shopify,deny,manual,89.00,,true,true,"",https://cdn.shopify.com/s/files/1/0821/8044/0409/files/lorene-triangle-bikini-top-beige-bilalithelabel.jpg?v=1743457326,1,"",false,Lorene Top - Beige,Triangle top. Adjustable over the shoulder and under the bust straps. Not padded. Quick drying. Matte finish. Italian lycra fabric.,166,,,,new,FALSE,,,,,,,,,FALSE,erwachsene,beige,,l; m; s,schmeichelnde-silhouette; leicht,,"",,only manual,,,kg,,,active
lorene-top-beige,,,,,,,,,BEIGE,,,M,,,,,SW-2022-02-02,35000.0,shopify,deny,manual,89.00,,true,true,"",https://cdn.shopify.com/s/files/1/0821/8044/0409/files/sara-brazilian-bikini-bottom-beige.jpg?v=1743436602,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
lorene-top-beige,,,,,,,,,BEIGE,,,L,,,,,SW-2022-02-02,38000.0,shopify,deny,manual,89.00,,true,true,"",https://cdn.shopify.com/s/files/1/0821/8044/0409/files/121863B5-C6E9-4FA5-B085-A48D218CCAE7.jpg?v=1744360388,3,"Luxurious triangle swimwear basic by Bilali the Label. Made from premium Italian Lycra in SoftTheme. Featuring ultra-soft seams, sculpting fit, and fast-drying fabric for effortless elegance on sunny days.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
lorene-top-beige,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/403FCF6E-E0C8-400D-95F2-A4670F0E7022.jpg?v=1745349372,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alisa-top-black,ALISA TOP,<p>Strapless bandeau top. <br>Side boning for more hold. <br>Silicon rubber inside for no slipping. <br>Decorative seam on the edges.<br>Opaque - fully lined. <br>Not padded Quick drying. <br>Matte finish Italian lycra fabric.</p>,BILALI The Label,Apparel & Accessories > Clothing > Swimwear,Swimwear,"basic, swimwear, tops",true,Color,BLACK,,Size,S,,,,,SW-2025-04-01,37.0,shopify,deny,manual,89.00,,true,true,"",https://cdn.shopify.com/s/files/1/0821/8044/0409/files/alisa-bikini-bandeau-top-black.jpg?v=1743420560,1,"Stylish Alisa Bandeau Bikini made of black Italian Lycra fabric - soft seam, fast-drying, more comfort and perfect fit",false,Alisa Top - Black ,Strapless bandeau top. Side boning for more hold. Silicon rubber inside for no slipping. Decorative seam on the edges. Opaque - fully lined. Not padded Quick drying. Matte finish Italian lycra fabric.,166,,,,new,FALSE,,,,,,,,,FALSE,,,,,,,"",maria-bottom-black; caecilia-bottom-black; lorene-top-black; evelyn-pareo-black,only manual,,,kg,,,active
alisa-top-black,,,,,,,,,BLACK,,,M,,,,,SW-2025-04-01,41.0,shopify,deny,manual,89.00,,true,true,"",https://cdn.shopify.com/s/files/1/0821/8044/0409/files/maria-bottom-black-back.jpg?v=1744718828,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
alisa-top-black,,,,,,,,,BLACK,,,L,,,,,SW-2025-04-01,45.0,shopify,deny,manual,89.00,,true,true,"",https://cdn.shopify.com/s/files/1/0821/8044/0409/files/black-bandeau-bikini-top-front.jpg?v=1744705080,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
alisa-top-black,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/A9747603-8A3E-4D01-9E06-89ECF927FCA6.jpg?v=1744354274,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rike-dress-champagne,RIKE DRESS,<p>Rike is a short blouse-dress. <br>Asymmetrical casual cut with long sleeves. <br>Light italian satin fabric.</p>,BILALI The Label,Apparel & Accessories > Clothing > Swimwear,Resortwear,dresses,true,Color,CHAMPAGNE,,Size,XS/S,,,,,RW-2022-13-05,173000.0,shopify,deny,manual,129.00,159.00,true,true,"",https://cdn.shopify.com/s/files/1/0821/8044/0409/files/rike-short-satin-dress-champagne.jpg?v=1744706243,1,"",false,Rike Dress - Champagne,,166,,,,new,FALSE,,,,,,,,,FALSE,,,,,,,"",,only manual,,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/rike-short-satin-dress-champagne.jpg?v=1744706243,kg,,,active
rike-dress-champagne,,,,,,,,,CHAMPAGNE,,,M/L,,,,,RW-2022-13-05,190000.0,shopify,deny,manual,129.00,159.00,true,true,"",https://cdn.shopify.com/s/files/1/0821/8044/0409/files/2021_05_12_bilali_the_label_0687_kleid.jpg?v=1711974372,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/rike-short-satin-dress-champagne.jpg?v=1744706243,kg,,,
rike-dress-champagne,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/B244DC94-B72B-4C40-9B26-467555649CFC.jpg?v=1745359135,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rike-dress-champagne,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/DB44F2AC-9CB5-48ED-90DD-0BF1B44C13ED.jpg?v=1745359137,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michaela-dress-rose,MICHAELA DRESS,<p>Long sleeved blouse dress with adjustable loops. <br>Asymmetrical casual cut. <br>Light italian satin fabric.</p>,BILALI The Label,Apparel & Accessories > Clothing > Swimwear,Resortwear,dresses,true,Color,ROSÉ,,Size,XS/S,,,,,RW-2022-12-04,218000.0,shopify,deny,manual,139.00,169.00,true,true,"",https://cdn.shopify.com/s/files/1/0821/8044/0409/files/Michaela-Dress-Ros.jpg?v=1712313825,1,"",false,Michaela Dress - Rosé,"Long sleeved blouse dress with adjustable loops. 
Asymmetrical casual cut. 
Light italian satin fabric.",166,,,,new,FALSE,,,,,,,,,FALSE,,,,,,,"",,only manual,,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/Michaela-Dress-Ros.jpg?v=1712313825,kg,,,active
michaela-dress-rose,,,,,,,,,ROSÉ,,,M/L,,,,,RW-2022-12-04,240000.0,shopify,deny,manual,139.00,169.00,true,true,"",https://cdn.shopify.com/s/files/1/0821/8044/0409/files/Rike-Dress-2.jpg?v=1711974921,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/Michaela-Dress-Ros.jpg?v=1712313825,kg,,,
michaela-dress-rose,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/2021_05_12_bilali_the_label_0877_kleid.jpg?v=1711974930,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michaela-dress-rose,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/6821E9F7-7C3E-4FAB-97C6-036A0FF1BF45.jpg?v=1745359040,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michaela-dress-rose,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/D26CDE95-055D-46D0-807A-8A66447FBE48.jpg?v=1745359040,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evelyn-pareo-black,EVELYN PAREO,"<p>Pareo wrap skirt.<br>Versatile multiuse cover-up garment.<br>Can be tied on the hips or above the bust.<br>Simple cover-up for head, shoulders or other parts from the sun.<br>Soft italian twill fabric.</p>",BILALI The Label,Apparel & Accessories > Clothing > Swimwear,Resortwear,pareos,true,Color,BLACK,,Size,ONE SIZE,,,,,"",100000.0,shopify,deny,manual,69.00,,true,true,"",https://cdn.shopify.com/s/files/1/0821/8044/0409/files/Evelyn-Pareo-Black.jpg?v=1711975554,1,"",false,Evelyn Pareo - Black,"Pareo wrap skirt.
Versatile multiuse cover-up garment.
Can be tied on the hips or above the bust.
Simple cover-up for head, shoulders or other parts from the sun.
Soft italian twill fabric.",166,,adult,,new,FALSE,,,,,,,,,FALSE,erwachsene,schwarz,polyester,einheitsgrosse,sonstiges; schmeichelnde-silhouette; leicht; schnelltrocknend,weiblich,"",alisa-top-black; alessia-top-black; sophie-top-black; lorene-top-black,only manual,,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/Evelyn-Pareo-Black.jpg?v=1711975554,kg,,,active
evelyn-pareo-black,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/EvelynPareo-Black_oben.jpg?v=1714076099,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evelyn-pareo-black,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/2021_05_12_bilali_the_label_1270_schwarz.jpg?v=1712253912,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evelyn-pareo-black,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/66F262FE-D5A8-427B-8778-7024EFCCE391.jpg?v=1744302244,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evelyn-pareo-white,EVELYN PAREO,"Pareo wrap skirt.
Versatile multiuse cover-up garment.
Can be tied on the hips or above the bust.
Simple cover-up for head, shoulders or other parts from the sun.
Soft italian twill fabric.",BILALI The Label,Apparel & Accessories > Clothing > Swimwear,Resortwear,pareos,true,Farbe,WHITE,,Größe,ONE SIZE,,,,,RW-2022-14-07,112000.0,shopify,deny,manual,69.00,,true,true,,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/Evelyn-Pareo-White.jpg?v=1711975627,1,"",false,Evelyn Pareo - White ,"Pareo wrap skirt.
Versatile multiuse cover-up garment.
Can be tied on the hips or above the bust.
Simple cover-up for head, shoulders or other parts from the sun.
Soft italian twill fabric.",166,,adult,,new,FALSE,,,,,,,,,FALSE,erwachsene,weiss,polyester,einheitsgrosse,schmeichelnde-silhouette; leicht; schnelltrocknend; sonstiges,weiblich,"",lorene-top-off-white; miriam-scrunchie-white,only manual,,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/Evelyn-Pareo-White.jpg?v=1711975627,kg,,,active
evelyn-pareo-white,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/EvelynPareo-White_oben.jpg?v=1714075969,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evelyn-pareo-white,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0821/8044/0409/files/2021_05_12_bilali_the_label_1270_weis.jpg?v=1712253913,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
